DEBUG 2023-10-03 21:51:53,204 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\email\__init__.py first seen with mtime 1694630745.2275853
DEBUG 2023-10-03 21:51:53,204 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\core\files\locks.py first seen with mtime 1696004250.2331529
DEBUG 2023-10-03 21:51:53,204 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\weakref.py first seen with mtime 1694630749.0377429
DEBUG 2023-10-03 21:51:53,205 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1696004250.8088715
DEBUG 2023-10-03 21:51:53,205 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1696004245.3662183
DEBUG 2023-10-03 21:51:53,205 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1696004248.7020974
DEBUG 2023-10-03 21:51:53,206 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\__init__.py first seen with mtime 1696004245.522834
DEBUG 2023-10-03 21:51:53,206 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1696004250.1016324
DEBUG 2023-10-03 21:51:53,206 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\encodings\cp1252.py first seen with mtime 1694630745.2748504
DEBUG 2023-10-03 21:51:53,206 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\pickle.py first seen with mtime 1694630746.4824712
DEBUG 2023-10-03 21:51:53,206 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\apps\__init__.py first seen with mtime 1696004245.5288055
DEBUG 2023-10-03 21:51:53,207 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1696004250.6097288
DEBUG 2023-10-03 21:51:53,207 autoreload File C:\Users\alecb\education_project\courses\apps.py first seen with mtime 1696205072.3425648
DEBUG 2023-10-03 21:51:53,207 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\core\mail\__init__.py first seen with mtime 1696004250.3504877
DEBUG 2023-10-03 21:51:53,207 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1696004250.5505714
DEBUG 2023-10-03 21:51:53,207 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1696004250.6256988
DEBUG 2023-10-03 21:51:53,207 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1696004250.844096
DEBUG 2023-10-03 21:51:53,207 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\core\__init__.py first seen with mtime 1696004250.1329079
DEBUG 2023-10-03 21:51:53,209 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\threads.py first seen with mtime 1694630744.867097
DEBUG 2023-10-03 21:51:53,209 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1696004250.1150203
DEBUG 2023-10-03 21:51:53,209 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1696004250.610633
